zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
2,2,0.0,0.0,0.0,0,0.0,40.625,-73.825,40.6257,-73.8261
3,2,0.0,0.0,0.0,0,0.0,40.865,-73.845,40.8659,-73.8495
4,2,0.0,0.0,0.0,0,0.0,40.725,-73.975,40.7242,-73.977
5,2,0.0,0.0,0.0,0,0.0,40.555,-74.185,40.5503,-74.1899
6,2,0.0,0.0,0.0,0,0.0,40.595,-74.065,40.5991,-74.0678
7,2,0.0,0.0,0.0,0,0.0,40.765,-73.925,40.7611,-73.9215
8,2,0.0,0.0,0.0,0,0.0,40.775,-73.925,40.7786,-73.9232
9,2,0.0,0.0,0.0,0,0.0,40.755,-73.785,40.7544,-73.788
10,2,0.0,0.0,0.0,0,0.0,40.675,-73.795,40.6781,-73.7917
11,2,0.0,0.0,0.0,0,0.0,40.605,-74.015,40.604,-74.0106
12,2,0.0,0.0,0.0,0,0.0,40.705,-74.015,40.7025,-74.0155
13,2,0.0,0.0,0.0,0,0.0,40.715,-74.015,40.7116,-74.0161
14,2,0.0,0.0,0.0,0,0.0,40.625,-74.035,40.6236,-74.0304
15,2,0.0,0.0,0.0,0,0.0,40.785,-73.785,40.7852,-73.788
16,2,0.0,0.0,0.0,0,0.0,40.765,-73.775,40.7612,-73.7717
17,2,0.0,0.0,0.0,0,0.0,40.695,-73.945,40.692,-73.9492
18,2,0.0,0.0,0.0,0,0.0,40.865,-73.885,40.8688,-73.8869
19,2,0.0,0.0,0.0,0,0.0,40.735,-73.725,40.7365,-73.7279
20,2,0.0,0.0,0.0,0,0.0,40.855,-73.885,40.8578,-73.886
21,2,0.0,0.0,0.0,0,0.0,40.605,-73.985,40.602,-73.9813
22,2,0.0,0.0,0.0,0,0.0,40.605,-73.995,40.6096,-73.9943
23,2,0.0,0.0,0.0,0,0.0,40.605,-74.155,40.6075,-74.1594
24,2,0.0,0.0,0.0,0,0.0,40.805,-73.965,40.802,-73.9656
25,2,0.0,0.0,0.0,0,0.0,40.685,-73.985,40.6856,-73.9865
26,2,0.0,0.0,0.0,0,0.0,40.625,-73.985,40.6286,-73.9896
27,2,0.0,0.0,0.0,0,0.0,40.555,-73.905,40.559,-73.9098
28,2,0.0,0.0,0.0,0,0.0,40.715,-73.805,40.7109,-73.8073
29,2,0.0,0.0,0.0,0,0.0,40.585,-73.965,40.5822,-73.9606
30,2,0.0,0.0,0.0,0,0.0,40.605,-73.825,40.6049,-73.8201
31,2,0.0,0.0,0.0,0,0.0,40.855,-73.875,40.8599,-73.8757
32,2,0.0,0.0,0.0,0,0.0,40.865,-73.865,40.8645,-73.8646
33,2,0.0,0.0,0.0,0,0.0,40.695,-73.995,40.6962,-73.9953
34,2,0.0,0.0,0.0,0,0.0,40.705,-73.965,40.7026,-73.9677
35,2,0.0,0.0,0.0,0,0.0,40.665,-73.915,40.6638,-73.9125
36,2,0.0,0.0,0.0,0,0.0,40.695,-73.915,40.6991,-73.9166
37,2,0.0,0.0,0.0,0,0.0,40.695,-73.925,40.6963,-73.9259
38,2,0.0,0.0,0.0,0,0.0,40.695,-73.735,40.6933,-73.7355
39,2,0.0,0.0,0.0,0,0.0,40.635,-73.895,40.6389,-73.8998
40,2,0.0,0.0,0.0,0,0.0,40.675,-73.995,40.6785,-73.9958
41,2,0.0,0.0,0.0,0,0.0,40.805,-73.955,40.8042,-73.9521
42,2,0.0,0.0,0.0,0,0.0,40.825,-73.935,40.821,-73.9395
43,2,0.0,0.0,0.0,0,0.0,40.785,-73.965,40.7825,-73.9656
44,2,0.0,0.0,0.0,0,0.0,40.525,-74.225,40.5273,-74.2295
45,2,0.0,0.0,0.0,0,0.0,40.715,-73.995,40.7131,-73.9983
46,2,0.0,0.0,0.0,0,0.0,40.845,-73.785,40.8475,-73.7865
47,2,0.0,0.0,0.0,0,0.0,40.845,-73.895,40.8458,-73.8969
48,2,0.0,0.0,0.0,0,0.0,40.765,-73.985,40.7622,-73.9899
49,2,0.0,0.0,0.0,0,0.0,40.685,-73.965,40.6885,-73.9649
50,2,0.0,0.0,0.0,0,0.0,40.765,-73.995,40.7667,-73.9939
51,2,0.0,0.0,0.0,0,0.0,40.875,-73.835,40.8741,-73.8304
52,2,0.0,0.0,0.0,0,0.0,40.685,-73.995,40.6866,-73.9969
53,2,0.0,0.0,0.0,0,0.0,40.785,-73.845,40.782,-73.8441
54,2,0.0,0.0,0.0,0,0.0,40.685,-74.005,40.6861,-74.0033
55,2,0.0,0.0,0.0,0,0.0,40.575,-73.995,40.5769,-73.9905
56,2,0.0,0.0,0.0,0,0.0,40.745,-73.855,40.7416,-73.8591
57,2,0.0,0.0,0.0,0,0.0,40.755,-73.855,40.7523,-73.8534
58,2,0.0,0.0,0.0,0,0.0,40.845,-73.825,40.8415,-73.8207
59,2,0.0,0.0,0.0,0,0.0,40.835,-73.895,40.8389,-73.8931
60,2,0.0,0.0,0.0,0,0.0,40.835,-73.885,40.8313,-73.8898
61,2,0.0,0.0,0.0,0,0.0,40.675,-73.945,40.6738,-73.9413
62,2,0.0,0.0,0.0,0,0.0,40.665,-73.945,40.6671,-73.9493
63,2,0.0,0.0,0.0,0,0.0,40.685,-73.875,40.6848,-73.8777
64,2,0.0,0.0,0.0,0,0.0,40.765,-73.735,40.7606,-73.7314
65,2,0.0,0.0,0.0,0,0.0,40.695,-73.985,40.6954,-73.9856
66,2,0.0,0.0,0.0,0,0.0,40.705,-73.985,40.7017,-73.9864
67,2,0.0,0.0,0.0,0,0.0,40.615,-74.015,40.6185,-74.0147
68,2,0.0,0.0,0.0,0,0.0,40.745,-73.995,40.7484,-73.9999
69,2,0.0,0.0,0.0,0,0.0,40.835,-73.915,40.8306,-73.9154
70,2,0.0,0.0,0.0,0,0.0,40.765,-73.865,40.7639,-73.8684
71,2,0.0,0.0,0.0,0,0.0,40.645,-73.935,40.6439,-73.9377
72,2,0.0,0.0,0.0,0,0.0,40.655,-73.925,40.6525,-73.9202
73,2,0.0,0.0,0.0,0,0.0,40.755,-73.805,40.7537,-73.8066
74,2,0.0,0.0,0.0,0,0.0,40.805,-73.935,40.8056,-73.9383
75,2,0.0,0.0,0.0,0,0.0,40.795,-73.945,40.7907,-73.945
76,2,0.0,0.0,0.0,0,0.0,40.655,-73.875,40.6587,-73.8784
77,2,0.0,0.0,0.0,0,0.0,40.665,-73.895,40.6677,-73.8957
78,2,0.0,0.0,0.0,0,0.0,40.845,-73.885,40.846,-73.8866
79,2,0.0,0.0,0.0,0,0.0,40.725,-73.985,40.7279,-73.9852
80,2,0.0,0.0,0.0,0,0.0,40.715,-73.945,40.7145,-73.9423
81,2,0.0,0.0,0.0,0,0.0,40.875,-73.845,40.8774,-73.8455
82,2,0.0,0.0,0.0,0,0.0,40.735,-73.875,40.7385,-73.8723
83,2,0.0,0.0,0.0,0,0.0,40.745,-73.885,40.7401,-73.8892
84,2,0.0,0.0,0.0,0,0.0,40.535,-74.175,40.532,-74.1739
85,2,0.0,0.0,0.0,0,0.0,40.645,-73.955,40.6473,-73.9522
86,2,0.0,0.0,0.0,0,0.0,40.605,-73.755,40.6026,-73.7542
87,2,0.0,0.0,0.0,0,0.0,40.705,-74.005,40.7067,-74.0078
88,2,0.0,0.0,0.0,0,0.0,40.705,-74.015,40.7034,-74.0113
89,2,0.0,0.0,0.0,0,0.0,40.645,-73.965,40.641,-73.9627
90,2,0.0,0.0,0.0,0,0.0,40.745,-73.995,40.7425,-73.9968
91,2,0.0,0.0,0.0,0,0.0,40.625,-73.935,40.6274,-73.9325
92,2,0.0,0.0,0.0,0,0.0,40.765,-73.835,40.7641,-73.8304
93,2,0.0,0.0,0.0,0,0.0,40.735,-73.845,40.7392,-73.8419
94,2,0.0,0.0,0.0,0,0.0,40.855,-73.905,40.8583,-73.9006
95,2,0.0,0.0,0.0,0,0.0,40.725,-73.845,40.7235,-73.8482
96,2,0.0,0.0,0.0,0,0.0,40.695,-73.875,40.6958,-73.876
97,2,0.0,0.0,0.0,0,0.0,40.695,-73.975,40.6906,-73.9756
98,2,0.0,0.0,0.0,0,0.0,40.735,-73.775,40.7338,-73.7796
