time,count,total_precipitation,mean,median,max,std,active_entities,pct_active_entities
2026-01-01 00:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:05:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:10:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:15:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
